,lhs,rhs,count
0,pos,pos,24
1,pos,neg,1
2,pos,neutral,5
3,neg,pos,6
4,neg,neg,23
5,neg,neutral,1
6,neutral,pos,0
7,neutral,neg,1
8,neutral,neutral,13
