,lhs,rhs,count
0,pos,pos,19
1,pos,neg,1
2,pos,neutral,5
3,neg,pos,6
4,neg,neg,30
5,neg,neutral,2
6,neutral,pos,0
7,neutral,neg,3
8,neutral,neutral,19
