,lhs,rhs,count
0,pos,pos,24
1,pos,neg,2
2,pos,neutral,5
3,neg,pos,6
4,neg,neg,28
5,neg,neutral,3
6,neutral,pos,0
7,neutral,neg,2
8,neutral,neutral,19
