,lhs,rhs,count
0,macro,good,91
1,macro,poor,150
2,macro,none,28
3,industry,good,2
4,industry,poor,0
5,industry,none,2
6,government,good,1
7,government,poor,32
8,government,none,4
9,personal,good,3
10,personal,poor,5
11,personal,none,0
12,business,good,8
13,business,poor,2
14,business,none,9
15,other,good,0
16,other,poor,0
17,other,none,1
