,no_inter_macro,no_inter_weighted
frame,0.4245645645645645,0.7915042315042313
econ_rate,0.6197585612219759,0.6922144522144523
econ_change,0.4598186366479049,0.5210511033681766
type,0.6593230000161964,0.9163345227202864
macro_type,0.8129165727350759,0.9075660008747232 
spin,0.795861875837606,0.8016853439933378
