user_id,total_anns,errors,type_disagreement,macro_type_disagreement,spin_disagreement,total_disagreement
64057114a10b6be25b9f3008,50,0,0.06,0.06,0.14,0.09
666b6043dc02843c4bfd5c30,50,1,1.0,0.12,0.33,0.54
62913423a2eafb7ddd64d975,50,6,0.18,0.19,0.07,0.15
