,ValEconRate>>ValEconChange,ValEconRate>>ValFrame,ValEconChange>>ValFrame,ValFrame>>ValEconRate,ValEconChange>>ValEconRate,ValFrame>>ValEconChange
frame,0.434,0.442,0.428,0.442,0.434,0.446
econ_rate,0.672,0.666,0.684,0.7,0.7,0.683
econ_change,0.504,0.513,0.475,0.511,0.516,0.504
type,0.697,0.697,0.698,0.698,0.697,0.698
spin,0.813,0.813,0.813,0.813,0.813,0.813
macro_type,0.851,0.851,0.851,0.851,0.851,0.851
