,blank_rules_macro,blank_rules_weighted
frame,0.3153846153846154,0.6754677754677754
econ_rate,0.641351088916632,0.7283540776050139
econ_change,0.3739898989898989,0.3945391414141413
type,0.7017892077996377,0.935312642838478
spin,0.7780529946894994,0.7834740831134631
macro_type,0.7122531642129198,0.8819994564329279
