,ValEconRate>>ValEconChange,ValEconRate>>ValFrame,ValEconChange>>ValFrame,ValFrame>>ValEconRate,ValEconChange>>ValEconRate,ValFrame>>ValEconChange
frame,0.515,0.515,0.515,0.378,0.515,0.383
econ_rate,0.672,0.666,0.697,0.706,0.706,0.697
econ_change,0.506,0.493,0.465,0.493,0.464,0.501
type,0.697,0.697,0.698,0.698,0.697,0.698
spin,0.813,0.813,0.813,0.813,0.813,0.813
macro_type,0.851,0.851,0.851,0.851,0.851,0.851
