,Component,2 annotators,3 annotators,4+ annotators
0,frame,21.74%,57.97%,20.29%
1,econ_rate,35.16%,52.34%,12.5%
2,econ_change,35.16%,52.34%,12.5%
3,type,46.82%,43.73%,9.45%
4,macro_type,51.61%,42.14%,6.25%
5,spin,72.85%,26.19%,0.95%
