,ValSpin>>ValType,ValMacroType>>ValType,ValType>>ValType,ValMacroType>>ValSpin,ValType>>ValMacroType,ValSpin>>ValMacroType,ValType>>ValSpin,ValSpin>>ValSpin,ValMacroType>>ValMacroType
frame,0.7105588745775099,0.592848466443972,0.6754677754677754,0.6041395054448669,0.6230847803881512,0.5958543289051763,0.7105588745775099,0.6640960865133182,0.697008697008697
econ_rate,0.7074737141233304,0.7283540776050139,0.7283540776050139,0.7330316742081449,0.7330316742081449,0.7283540776050139,0.7074737141233304,0.7052803477063321,0.7283540776050139
econ_change,0.4241696678671468,0.3945391414141413,0.3945391414141413,0.4049967126890204,0.4049967126890204,0.3945391414141413,0.4241696678671468,0.3437044663793617,0.3945391414141413
type,0.9393728960963388,0.935312642838478,0.9385604746135398,0.9285950054520768,0.8991027568922306,0.935312642838478,0.9290894133453438,0.9301449875659108,0.935312642838478
spin,0.7996665085403513,0.7834740831134631,0.7834740831134631,0.7916067331344481,0.7916067331344481,0.7638733080581218,0.8082900978257889,0.7581055619480668,0.7834740831134631
macro_type,,0.8356068551733559,,0.8151334226736259,0.8085021450626614,0.8456546869670091,,,0.8413500631356925
