,ValSpin>>ValType,ValMacroType>>ValType,ValType>>ValType,ValMacroType>>ValSpin,ValType>>ValMacroType,ValSpin>>ValMacroType,ValType>>ValSpin,ValSpin>>ValSpin,ValMacroType>>ValMacroType
frame,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
econ_rate,0.735,0.725,0.725,0.725,0.725,0.725,0.725,0.735,0.725
econ_change,0.627,0.62,0.62,0.627,0.627,0.624,0.627,0.607,0.627
type,0.938,0.934,0.929,0.934,0.918,0.934,0.927,0.934,0.934
macro_type,0.913,0.882,0.913,0.887,0.913,0.918,0.913,0.913,0.911
spin,0.817,0.817,0.817,0.817,0.817,0.819,0.817,0.817,0.817
