,ValSpin>>ValType,ValType>>ValType,ValType>>ValSpin,ValSpin>>ValSpin
frame,0.6754677754677754,0.6754677754677754,0.6754677754677754,0.6754677754677754
econ_rate,0.7283540776050139,0.7283540776050139,0.7283540776050139,0.7283540776050139
econ_change,0.3945391414141413,0.3945391414141413,0.3945391414141413,0.3945391414141413
type,0.9393699529092034,0.9385604746135398,0.9303555557097158,0.935312642838478
spin,0.7761278914064806,0.7834740831134631,0.7834740831134631,0.7810172497606529
