,ValSpin>>ValType,ValType>>ValType,ValType>>ValSpin,ValSpin>>ValSpin
frame,0.3153846153846154,0.3153846153846154,0.3153846153846154,0.3153846153846154
econ_rate,0.641351088916632,0.641351088916632,0.641351088916632,0.641351088916632
econ_change,0.3739898989898989,0.3739898989898989,0.3739898989898989,0.3739898989898989
type,0.7108475753679091,0.7070490157013719,0.6847426290160866,0.7017892077996377
spin,0.7701460876826399,0.7780529946894994,0.7780529946894994,0.7754737481052039
