,all,ValSpin>>ValEconRate,ValSpin>>ValEconChange
frame,0.6754677754677754,0.6754677754677754,0.6754677754677754
econ_rate,0.6448761553390597,0.6448761553390597,0.7283540776050139
econ_change,0.4682417046193884,0.3945391414141413,0.4676535087719298
type,0.935312642838478,0.935312642838478,0.935312642838478
spin,0.7810172497606529,0.7810172497606529,0.7810172497606529
