,precision,recall,f1-score
jobs,0.947,0.982,0.964
retail,0.6,0.75,0.667
interest,0.75,0.857,0.8
prices,0.733,0.846,0.786
energy,1.0,1.0,1.0
wages,0.867,0.8125,0.839
macro,0.857,0.837,0.847
market,0.96,0.797,0.870
currency,1.0,0.8,0.889
housing,1.0,0.95,0.975
other,1.0,0.5,0.667
none,0.934,0.968,0.950
accuracy,0.917,0.917,0.917
macro avg,0.887,0.842,0.854
weighted avg,0.919,0.917,0.916
