,precision,recall,f1-score,support
jobs,0.962,0.918,0.939
retail,0.5,0.5,0.5
interest,0.75,0.8571,0.8
prices,0.75,0.692,0.72
energy,1.0,0.8,0.889
wages,0.857,0.75,0.8
macro,0.83,0.849,0.84
market,0.9361702127659575,0.7457627118644068,0.8301886792452831
currency,0.75,0.6,0.667
housing,1.0,0.65,0.788
other,0.75,0.5,0.6
none,0.873,0.972,0.92
accuracy,0.881,0.8813559322033898,0.8813559322033898
macro avg,0.83,0.736,0.774
weighted avg,0.885,0.881,0.879
