,ValSpin>>ValFrame,ValSpin>>ValEconRate,ValSpin>>ValEconChange,ValType>>ValFrame,ValType>>ValEconRate,ValType>>ValEconChange
0,0,2,2,0,1,1
1,0,8,5,0,0,0
2,0,0,0,0,0,0
3,0,0,1,0,0,0
4,0,5,0,0,0,0
