,experiment2_macro,experiment2_weighted
frame,0.4099885844748859,0.8072447447447448
econ_rate,0.5086392287727103,0.6419624498601139
econ_change,0.3187301587301587,0.4879365079365079
type,0.6767982605495867,0.9278424826201154
spin,0.7727511140132896,0.778604908215626
macro_type,0.7295246687111931,0.8919321073997413
