user_id,total_anns,errors,type_disagreement,macro_type_disagreement,spin_disagreement,total_disagreement
66a790a0f6972366debe11a1,50,10,0.04,0.05,0.04,0.04
668ea0c518a4d78ff5007041,49,25,0.52,0.5,0.55,0.52
5aa83a71f6dfdd0001eb1690,50,0,0.09,0.11,0.12,0.11
