,precision,recall,f1-score,support
business,1.0,0.6428571428571429,0.782608695652174,14.0
government,0.8235294117647058,0.5833333333333334,0.6829268292682927,24.0
industry,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
macro,0.8854166666666666,1.0,0.9392265193370166,85.0
other,0.0,0.0,0.0,0.0
personal,0.375,0.5,0.42857142857142855,6.0
accuracy,0.8188405797101449,0.8188405797101449,0.8188405797101449,0.8188405797101449
macro avg,0.5695465686274509,0.49140211640211645,0.5166666899159297,138.0
weighted avg,0.8280805981813014,0.8188405797101449,0.8126989011351048,138.0
