,precision,recall,f1-score,support
business,1.0,0.8727272727272727,0.9320388349514563,55.0
government,0.9290322580645162,0.96,0.9442622950819672,150.0
industry,0.75,0.2608695652173913,0.3870967741935483,23.0
macro,0.9322916666666666,0.9835164835164835,0.9572192513368983,364.0
other,0.0,0.0,0.0,2.0
personal,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
accuracy,0.9281045751633987,0.9281045751633987,0.9281045751633987,0.9281045751633987
macro avg,0.7195343796120599,0.6239633313546357,0.651055240213026,612.0
weighted avg,0.9210210583811851,0.9281045751633987,0.9192408016675896,612.0
