user_id,total_anns,errors,type_disagreement,macro_type_disagreement,spin_disagreement,total_disagreement
653ee1d628ced1573a58023d,50,0,0.11,0.12,0.11,0.11
65cce77bbc4382242747e097,50,8,1.0,0.06,0.05,0.37
60ff8160e8f2227f8b200510,50,11,0.18,0.17,0.23,0.19
