,lhs,rhs,count
0,macro,better,112
1,macro,worse,106
2,macro,same,36
3,macro,none,16
4,industry,better,4
5,industry,worse,2
6,industry,same,0
7,industry,none,0
8,government,better,17
9,government,worse,13
10,government,same,7
11,government,none,0
12,personal,better,1
13,personal,worse,3
14,personal,same,2
15,personal,none,0
16,business,better,9
17,business,worse,8
18,business,same,0
19,business,none,2
20,other,better,0
21,other,worse,0
22,other,same,0
23,other,none,1
