936  [main] INFO  org.linqs.psl.runtime.Runtime  - PSL Runtime Version 2.4.0-aad67da
7363 [main] INFO  org.linqs.psl.util.RandUtils  - Using random seed: 31702938
208513 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 47.97088, Violated Constraints: 0, Total Optimization Time: 620, Total Number of Iterations: 201
208513 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
208530 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
275314 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 73.06212, Violated Constraints: 34, Total Optimization Time: 66464, Total Number of Iterations: 25001
275314 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
275328 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
275866 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 42.467754, Violated Constraints: 0, Total Optimization Time: 533, Total Number of Iterations: 201
275866 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
275882 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
341663 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 73.71326, Violated Constraints: 34, Total Optimization Time: 65468, Total Number of Iterations: 25001
341663 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
341678 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
342070 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 44.600887, Violated Constraints: 0, Total Optimization Time: 390, Total Number of Iterations: 151
342070 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
342085 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
403240 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 68.50118, Violated Constraints: 34, Total Optimization Time: 60860, Total Number of Iterations: 25001
403240 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
