,precision,recall,f1-score,support
good,1.0,0.16666666666666666,0.2857142857142857,6.0
none,0.0,0.0,0.0,0.0
poor,0.5555555555555556,1.0,0.7142857142857143,5.0
accuracy,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
macro avg,0.5185185185185185,0.3888888888888889,0.3333333333333333,11.0
weighted avg,0.797979797979798,0.5454545454545454,0.4805194805194805,11.0
