,ValSpin>>ValType,ValMacroType>>ValType,ValType>>ValType,ValMacroType>>ValSpin,ValType>>ValMacroType,ValSpin>>ValMacroType,ValType>>ValSpin,ValSpin>>ValSpin,ValMacroType>>ValMacroType
frame,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
econ_rate,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732
econ_change,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596
type,0.94,0.913,0.93,0.919,0.904,0.891,0.927,0.937,0.842
spin,0.817,0.817,0.817,0.817,0.817,0.819,0.817,0.817,0.817
macro_type,0.92,0.849,0.922,0.842,0.828,0.891,0.932,0.916,0.879
