135	business	0.17752048
135	industry	0.19766103
135	macro	0.21066141
135	government	0.23354529
135	other	0.18061168
410	business	0.170502
410	industry	0.1954413
410	macro	0.19722311
410	government	0.2597835
410	other	0.17705005
439	business	0.1756801
439	industry	0.19477978
439	macro	0.2161504
439	government	0.23429199
439	other	0.17909771
44	business	0.18514247
44	industry	0.19286293
44	macro	0.23440458
44	government	0.20285755
44	other	0.18470006
195	business	0.1831455
195	industry	0.19068322
195	macro	0.23546685
195	government	0.20709231
195	other	0.18357997
258	business	0.18178879
258	industry	0.1888975
258	macro	0.23912981
258	government	0.20837563
258	other	0.18179728
286	business	0.18418148
286	industry	0.1897914
286	macro	0.23821284
286	government	0.2034421
286	other	0.18409733
409	business	0.16863605
409	industry	0.20516297
409	macro	0.19854473
409	government	0.25736988
409	other	0.17028636
6188	business	0.17619106
6188	industry	0.19034892
6188	macro	0.22269632
6188	government	0.22936454
6188	other	0.18139903
654	business	0.17870481
654	industry	0.1897578
654	macro	0.23355149
654	government	0.21936247
654	other	0.17862318
952	business	0.18379785
952	industry	0.18804616
952	macro	0.24489535
952	government	0.19916393
952	other	0.18365338
879	business	0.18232834
879	industry	0.18642212
879	macro	0.25182736
879	government	0.19748774
879	other	0.18186024
124	business	0.18648612
124	industry	0.19288757
124	macro	0.23757666
124	government	0.1970395
124	other	0.18599866
199	business	0.18405205
199	industry	0.19076051
199	macro	0.24186812
199	government	0.19810703
199	other	0.18505952
19134	business	0.18269153
19134	industry	0.19039765
19134	macro	0.24618533
19134	government	0.19858047
19134	other	0.18214212
1311	business	0.18459526
1311	industry	0.18955362
1311	macro	0.2465276
1311	government	0.19510663
1311	other	0.1840647
13929	business	0.18364199
13929	industry	0.1879859
13929	macro	0.243593
13929	government	0.20078832
13929	other	0.18383986
86954	business	0.18517826
86954	industry	0.19263944
86954	macro	0.23371187
86954	government	0.20222643
86954	other	0.1859564
568	business	0.17959362
568	industry	0.18702109
568	macro	0.24155004
568	government	0.21200046
568	other	0.17983434
495	business	0.17016333
495	industry	0.17481247
495	macro	0.2872347
495	government	0.20470001
495	other	0.1630895
704	business	0.18500063
704	industry	0.18944658
704	macro	0.244534
704	government	0.19494225
704	other	0.1843532
733	business	0.18448591
733	industry	0.18910182
733	macro	0.24685198
733	government	0.19493835
733	other	0.18368399
869	business	0.18448468
869	industry	0.1890447
869	macro	0.24521331
869	government	0.1965916
869	other	0.18423112
1482	business	0.18443967
1482	industry	0.1934749
1482	macro	0.24088289
1482	government	0.19857825
1482	other	0.18261352
2079	business	0.18417224
2079	industry	0.19105157
2079	macro	0.24168067
2079	government	0.19861351
2079	other	0.1844503
993	business	0.18298605
993	industry	0.18950815
993	macro	0.24838936
993	government	0.19695623
993	other	0.1821494
1458	business	0.18028715
1458	industry	0.19046058
1458	macro	0.2468445
1458	government	0.20309111
1458	other	0.17931631
4031	business	0.18127589
4031	industry	0.18875317
4031	macro	0.2500019
4031	government	0.19962777
4031	other	0.18034089
6164	business	0.18538925
6164	industry	0.19033541
6164	macro	0.24168725
6164	government	0.19648525
6164	other	0.18565783
10205	business	0.18514366
10205	industry	0.19193755
10205	macro	0.24029775
10205	government	0.19768992
10205	other	0.18477854
11040	business	0.1830322
11040	industry	0.19299608
11040	macro	0.23185691
11040	government	0.20773596
11040	other	0.18436679
14431	business	0.18149075
14431	industry	0.19300827
14431	macro	0.2326668
14431	government	0.20997253
14431	other	0.1828586
7	business	0.17268711
7	industry	0.20562243
7	macro	0.20021172
7	government	0.24768634
7	other	0.1737923
31058	business	0.1837308
31058	industry	0.1909926
31058	macro	0.24053882
31058	government	0.20068876
31058	other	0.18403776
85614	business	0.1791732
85614	industry	0.19138113
85614	macro	0.23597077
85614	government	0.21240418
85614	other	0.18107052
16121	business	0.1657055
16121	industry	0.19711703
16121	macro	0.20843609
16121	government	0.25917494
16121	other	0.1695664
30092	business	0.16738288
30092	industry	0.19657923
30092	macro	0.20769572
30092	government	0.26128042
30092	other	0.16706176
78753	business	0.18350439
78753	industry	0.19180271
78753	macro	0.23412818
78753	government	0.20690925
78753	other	0.18361771
4255	business	0.1825039
4255	industry	0.19196509
4255	macro	0.23324166
4255	government	0.20863883
4255	other	0.18363914
4806	business	0.18938889
4806	industry	0.19733088
4806	macro	0.22709714
4806	government	0.19770189
4806	other	0.18838568
22064	business	0.1890506
22064	industry	0.19591567
22064	macro	0.22922793
22064	government	0.19757946
22064	other	0.18791185
40041	business	0.18648025
40041	industry	0.2010675
40041	macro	0.2179193
40041	government	0.20817971
40041	other	0.18635264
64028	business	0.18539953
64028	industry	0.1957165
64028	macro	0.23043242
64028	government	0.20374769
64028	other	0.1846665
71054	business	0.18904169
71054	industry	0.19680777
71054	macro	0.2292049
71054	government	0.1978194
71054	other	0.18711323
35182	business	0.18667862
35182	industry	0.19383319
35182	macro	0.23180737
35182	government	0.20121683
35182	other	0.18596011
1145	business	0.18095084
1145	industry	0.1876108
1145	macro	0.25034183
1145	government	0.2000135
