,ValType>>ValEconRate,ValSpin>>ValFrame,ValSpin>>ValEconRate,ValType>>ValFrame,ValSpin>>ValEconChange,ValType>>ValEconChange
frame,0.3153846153846154,0.2607287449392713,0.3153846153846154,0.3018633540372671,0.3153846153846154,0.3153846153846154
econ_rate,0.6106837606837607,0.641351088916632,0.5231011945007887,0.641351088916632,0.641351088916632,0.641351088916632
econ_change,0.3739898989898989,0.3739898989898989,0.3739898989898989,0.3739898989898989,0.3015673981191222,0.1445824706694272
type,0.6408657042355185,0.7017892077996377,0.7017892077996377,0.6140031849571168,0.7017892077996377,0.6036087017862719
spin,0.7780529946894994,0.7754737481052039,0.7754737481052039,0.7780529946894994,0.7727511140132896,0.7780529946894994
