,precision,recall,f1-score,support
0,1.0,1.0,1.0,39.0
1,1.0,1.0,1.0,27.0
2,1.0,1.0,1.0,19.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,85.0
weighted avg,1.0,1.0,1.0,85.0
