,lhs,rhs,count
0,pos,macro,26
1,pos,industry,0
2,pos,government,1
3,pos,personal,0
4,pos,business,10
5,pos,other,0
6,neg,macro,30
7,neg,industry,1
8,neg,government,4
9,neg,personal,0
10,neg,business,3
11,neg,other,0
12,neutral,macro,9
13,neutral,industry,2
14,neutral,government,11
15,neutral,personal,2
16,neutral,business,1
17,neutral,other,0
