,lhs,rhs,count
0,macro,better,97
1,macro,worse,117
2,macro,same,36
3,macro,none,15
4,industry,better,3
5,industry,worse,4
6,industry,same,0
7,industry,none,0
8,government,better,19
9,government,worse,24
10,government,same,7
11,government,none,1
12,personal,better,0
13,personal,worse,5
14,personal,same,2
15,personal,none,0
16,business,better,10
17,business,worse,8
18,business,same,0
19,business,none,2
20,other,better,0
21,other,worse,0
22,other,same,0
23,other,none,1
