,precision,recall,f1-score,support
business,0.0,0.0,0.0,0.0
government,0.3333333333333333,1.0,0.5,3.0
industry,0.5,1.0,0.6666666666666666,1.0
macro,0.9166666666666666,0.5789473684210527,0.7096774193548387,19.0
other,0.0,0.0,0.0,1.0
accuracy,0.625,0.625,0.625,0.625
macro avg,0.35,0.5157894736842106,0.37526881720430105,24.0
weighted avg,0.7881944444444443,0.625,0.652105734767025,24.0
