,ValMacroType>>ValEconRate_macro,ValMacroType>>ValEconRate_weighted,ValType>>ValEconRate_macro,ValType>>ValEconRate_weighted,ValSpin>>ValFrame_macro,ValSpin>>ValFrame_weighted,ValMacroType>>ValFrame_macro,ValMacroType>>ValFrame_weighted,ValSpin>>ValEconRate_macro,ValSpin>>ValEconRate_weighted,ValType>>ValFrame_macro,ValType>>ValFrame_weighted,ValSpin>>ValEconChange_macro,ValSpin>>ValEconChange_weighted,ValType>>ValEconChange_macro,ValType>>ValEconChange_weighted,ValMacroType>>ValEconChange_macro,ValMacroType>>ValEconChange_weighted
frame,0.3153846153846154,0.6754677754677754,0.3153846153846154,0.6754677754677754,0.2607287449392713,0.6660830871357187,0.3220915032679738,0.6879585467820762,0.3153846153846154,0.6754677754677754,0.3018633540372671,0.7223434614738963,0.3153846153846154,0.6754677754677754,0.3153846153846154,0.6754677754677754,0.3153846153846154,0.6754677754677754
econ_rate,0.6453256888039497,0.7216334390247435,0.6106837606837607,0.6818958818958819,0.641351088916632,0.7283540776050139,0.641351088916632,0.7283540776050139,0.5231011945007887,0.6852090888602044,0.641351088916632,0.7283540776050139,0.641351088916632,0.7283540776050139,0.641351088916632,0.7283540776050139,0.641351088916632,0.7283540776050139
econ_change,0.3739898989898989,0.3945391414141413,0.3739898989898989,0.3945391414141413,0.3739898989898989,0.3945391414141413,0.3739898989898989,0.3945391414141413,0.3739898989898989,0.3945391414141413,0.3739898989898989,0.3945391414141413,0.3015673981191222,0.4593652037617555,0.1445824706694272,0.2227182539682539,0.2947845804988662,0.3279478458049886
type,0.703073550095477,0.9369860764327792,0.6408657042355185,0.9177757107426736,0.6952111216088999,0.9343052536089016,0.651055240213026,0.9192408016675896,0.7008002326064157,0.9358563080841592,0.6140031849571168,0.9089332073107472,0.6952111216088999,0.9343052536089016,0.6036087017862719,0.9064924608712406,0.6859059879941438,0.9301909955271468
spin,0.7780529946894994,0.7834740831134631,0.7780529946894994,0.7834740831134631,0.7754737481052039,0.7810172497606529,0.7780529946894994,0.7834740831134631,0.7754737481052039,0.7810172497606529,0.7780529946894994,0.7834740831134631,0.7727511140132896,0.778604908215626,0.7780529946894994,0.7834740831134631,0.7780529946894994,0.7834740831134631
macro_type,0.6500909592465887,0.86275710529878,0.7488889003190563,0.9108445180531644,0.7394221888275397,0.9057113387386352,0.4645496083346797,0.6902887526408067,0.7394221888275397,0.9057113387386352,0.7458812404652108,0.9066634547647076,0.7394221888275397,0.9057113387386352,0.7467289094606396,0.9111859546427804,0.6071825052469377,0.8206367709103138
