,ValMacroType>>ValEconRate,ValType>>ValEconRate,ValSpin>>ValFrame,ValMacroType>>ValFrame,ValSpin>>ValEconRate,ValType>>ValFrame,ValSpin>>ValEconChange,ValType>>ValEconChange,ValMacroType>>ValEconChange
frame,0.515,0.515,0.472,0.452,0.515,0.485,0.515,0.515,0.515
econ_rate,0.639,0.657,0.618,0.618,0.631,0.618,0.618,0.618,0.618
econ_change,0.493,0.493,0.493,0.493,0.493,0.493,0.522,0.487,0.49
type,0.673,0.652,0.697,0.654,0.697,0.655,0.697,0.65,0.665
spin,0.813,0.813,0.811,0.813,0.813,0.813,0.811,0.813,0.813
macro_type,0.67,0.843,0.854,0.567,0.854,0.855,0.854,0.86,0.605
