,lhs,rhs,count
0,macro,pos,17
1,macro,neg,22
2,macro,neutral,13
3,industry,pos,1
4,industry,neg,2
5,industry,neutral,2
6,government,pos,0
7,government,neg,6
8,government,neutral,13
9,personal,pos,0
10,personal,neg,1
11,personal,neutral,0
12,business,pos,6
13,business,neg,1
14,business,neutral,5
15,other,pos,0
16,other,neg,0
17,other,neutral,0
