,lhs,rhs,count
0,macro,good,72
1,macro,poor,148
2,macro,none,30
3,industry,good,2
4,industry,poor,3
5,industry,none,2
6,government,good,1
7,government,poor,44
8,government,none,5
9,personal,good,0
10,personal,poor,8
11,personal,none,0
12,business,good,8
13,business,poor,3
14,business,none,9
15,other,good,0
16,other,poor,0
17,other,none,1
