,experiment1_macro,experiment1_weighted
frame,0.3018633540372671,0.7223434614738963
econ_rate,0.5738749502190362,0.6834111726584845
econ_change,0.3739898989898989,0.3945391414141413
type,0.6288821698631925,0.912793918225449
spin,0.7754737481052039,0.7810172497606529
macro_type,0.7435694083977364,0.9055195835313592
