,lhs,rhs,count
0,macro,better,105
1,macro,worse,113
2,macro,same,29
3,macro,none,11
4,industry,better,5
5,industry,worse,4
6,industry,same,0
7,industry,none,0
8,government,better,17
9,government,worse,17
10,government,same,6
11,government,none,1
12,personal,better,1
13,personal,worse,2
14,personal,same,2
15,personal,none,0
16,business,better,2
17,business,worse,7
18,business,same,0
19,business,none,0
20,other,better,0
21,other,worse,0
22,other,same,0
23,other,none,0
