,lhs,rhs,count
0,pos,better,61
1,pos,worse,18
2,pos,same,2
3,pos,none,2
4,neg,better,7
5,neg,worse,66
6,neg,same,1
7,neg,none,10
8,neutral,better,23
9,neutral,worse,14
10,neutral,same,2
11,neutral,none,8
