,precision,recall,f1-score,support
government,1.0,0.5555555555555556,0.7142857142857143,9.0
industry,0.0,0.0,0.0,1.0
macro,0.6875,0.9166666666666666,0.7857142857142857,12.0
other,0.0,0.0,0.0,0.0
accuracy,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
macro avg,0.421875,0.3680555555555556,0.375,22.0
weighted avg,0.7840909090909091,0.7272727272727273,0.7207792207792209,22.0
