,ValSpin>>ValType_macro,ValSpin>>ValType_weighted,ValMacroType>>ValType_macro,ValMacroType>>ValType_weighted,ValType>>ValType_macro,ValType>>ValType_weighted,ValMacroType>>ValSpin_macro,ValMacroType>>ValSpin_weighted,ValType>>ValMacroType_macro,ValType>>ValMacroType_weighted,ValSpin>>ValMacroType_macro,ValSpin>>ValMacroType_weighted,ValType>>ValSpin_macro,ValType>>ValSpin_weighted,ValSpin>>ValSpin_macro,ValSpin>>ValSpin_weighted,ValMacroType>>ValMacroType_macro,ValMacroType>>ValMacroType_weighted
frame,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394,0.5147644927536231,0.7779224308300394
econ_rate,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343,0.6175295460650013,0.6711572513032343
econ_change,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933,0.4929504275818497,0.5963746858676933
type,0.7497959865039378,0.9400301059161048,0.6569008163974293,0.9130465645119724,0.7478913504434521,0.929740564943604,0.6668802342438328,0.9204137874133124,0.6419181835774164,0.9042332821119268,0.6324555142746907,0.8942533944214545,0.6662792412042225,0.9271611106371268,0.6973606858713316,0.937006920055009,0.6066307452321645,0.8424825268032096
spin,0.8115025935921459,0.8146883737802384,0.8115025935921459,0.8146883737802384,0.8115025935921459,0.8146883737802384,0.8115025935921459,0.8146883737802384,0.8115025935921459,0.8146883737802384,0.8130500005435235,0.8167167890649389,0.8115025935921459,0.8146883737802384,0.8115025935921459,0.8146883737802384,0.8115025935921459,0.8146883737802384
macro_type,0.8515094377103382,0.919706094090139,0.6541876816782212,0.8493005987405587,0.8514042139745116,0.9225828261056304,0.6620526700784616,0.8425071524648661,0.7582778210968332,0.8282468664154924,0.8159701927703956,0.8897137880395878,0.857853982639393,0.932569109203034,0.8491136154192879,0.9162335287311076,0.775303263247122,0.8791773757747541
