,lhs,rhs,count
0,pos,better,52
1,pos,worse,23
2,pos,same,3
3,pos,none,1
4,neg,better,17
5,neg,worse,64
6,neg,same,5
7,neg,none,2
8,neutral,better,20
9,neutral,worse,24
10,neutral,same,7
11,neutral,none,6
